user_played, instrument_name, velocity, pitch, start (s), end (s)
True,piano,80,63,0.0,0.37833333333333335
False,piano,80,51,0.0,1.5183333333333333
True,piano,80,63,0.4,0.5883333333333334
True,piano,80,65,0.6,0.7883333333333333
True,piano,80,67,0.8,0.9883333333333333
True,piano,80,70,1.0,1.1883333333333332
True,piano,80,65,1.2,1.5783333333333334
True,piano,80,67,1.6,1.9783333333333333
False,piano,80,55,1.6,2.3583333333333334
True,piano,80,65,2.0,2.3783333333333334
True,piano,80,62,2.4,2.7783333333333333
False,piano,80,50,2.4,3.158333333333333
True,piano,80,65,2.8,3.1783333333333332
True,piano,80,63,3.2,3.578333333333333
False,piano,80,51,3.2,4.718333333333334
True,piano,80,63,3.6,3.7883333333333336
True,piano,80,65,3.8,3.9883333333333333
True,piano,80,67,4.0,4.1883333333333335
True,piano,80,70,4.2,4.388333333333334
True,piano,80,72,4.4,4.778333333333333
True,piano,80,75,4.8,5.178333333333334
False,piano,80,56,4.8,5.558333333333334
True,piano,80,72,5.2,5.388333333333334
True,piano,80,70,5.4,5.588333333333333
True,piano,80,67,5.6,5.788333333333333
False,piano,80,46,5.6,6.358333333333333
True,piano,80,65,5.8,5.988333333333333
True,piano,80,63,6.0,6.378333333333333
True,piano,80,63,6.4,6.778333333333333
False,piano,80,51,6.4,7.918333333333333
True,piano,80,63,6.8,6.988333333333333
True,piano,80,65,7.0,7.1883333333333335
True,piano,80,67,7.2,7.388333333333334
True,piano,80,70,7.4,7.588333333333333
True,piano,80,65,7.6,7.9783333333333335
True,piano,80,67,8.0,8.378333333333334
False,piano,80,55,8.0,8.758333333333333
True,piano,80,65,8.4,8.778333333333334
True,piano,80,62,8.8,9.178333333333333
False,piano,80,50,8.8,9.558333333333334
True,piano,80,65,9.2,9.578333333333333
True,piano,80,63,9.6,9.978333333333333
False,piano,80,51,9.6,11.118333333333334
True,piano,80,63,10.0,10.188333333333333
True,piano,80,65,10.2,10.388333333333334
True,piano,80,67,10.4,10.588333333333333
True,piano,80,70,10.6,10.788333333333334
True,piano,80,65,10.8,11.178333333333333
True,piano,80,63,11.6,11.788333333333334
False,piano,80,51,11.6,11.788333333333334
True,piano,80,65,11.8,11.988333333333333
False,piano,80,53,11.8,11.988333333333333
True,piano,80,67,12.0,12.188333333333333
False,piano,80,55,12.0,12.188333333333333
True,piano,80,70,12.2,12.388333333333334
False,piano,80,58,12.2,12.388333333333334
True,piano,80,65,12.4,12.778333333333334
False,piano,80,53,12.4,12.778333333333334
True,piano,80,63,12.8,13.178333333333333
False,piano,80,51,12.8,14.318333333333333
True,piano,80,63,13.2,13.388333333333334
True,piano,80,65,13.4,13.588333333333333
True,piano,80,67,13.6,13.788333333333334
True,piano,80,70,13.8,13.988333333333333
True,piano,80,65,14.0,14.378333333333334
True,piano,80,67,14.4,14.778333333333334
False,piano,80,55,14.4,15.158333333333333
True,piano,80,65,14.8,15.178333333333333
True,piano,80,62,15.2,15.578333333333333
False,piano,80,50,15.2,15.958333333333334
True,piano,80,65,15.6,15.978333333333333
True,piano,80,63,16.0,16.378333333333334
False,piano,80,51,16.0,17.518333333333334
True,piano,80,63,16.4,16.588333333333335
True,piano,80,65,16.6,16.788333333333334
True,piano,80,67,16.8,16.988333333333333
True,piano,80,70,17.0,17.188333333333333
True,piano,80,72,17.2,17.578333333333333
True,piano,80,75,17.6,17.97833333333333
False,piano,80,56,17.6,18.358333333333334
True,piano,80,72,18.0,18.188333333333333
True,piano,80,70,18.2,18.388333333333332
True,piano,80,67,18.4,18.588333333333335
False,piano,80,46,18.4,19.158333333333335
True,piano,80,65,18.6,18.788333333333334
True,piano,80,63,18.8,19.178333333333335
True,piano,80,63,19.2,19.578333333333333
False,piano,80,51,19.2,20.718333333333334
True,piano,80,63,19.6,19.788333333333334
True,piano,80,65,19.8,19.988333333333333
True,piano,80,67,20.0,20.188333333333333
True,piano,80,70,20.2,20.388333333333332
True,piano,80,65,20.4,20.778333333333332
True,piano,80,67,20.8,21.178333333333335
False,piano,80,55,20.8,21.558333333333334
True,piano,80,65,21.2,21.388333333333332
True,piano,80,63,21.4,21.588333333333335
True,piano,80,62,21.6,21.97833333333333
False,piano,80,50,21.6,22.358333333333334
True,piano,80,65,22.0,22.378333333333334
True,piano,80,63,22.4,22.778333333333332
False,piano,80,51,22.4,23.918333333333333
True,piano,80,63,22.8,22.988333333333333
True,piano,80,65,23.0,23.188333333333333
True,piano,80,67,23.2,23.388333333333332
True,piano,80,70,23.4,23.588333333333335
True,piano,80,65,23.6,23.97833333333333
True,piano,80,63,24.4,24.588333333333335
False,piano,80,51,24.4,24.588333333333335
True,piano,80,65,24.6,24.788333333333334
False,piano,80,53,24.6,24.788333333333334
True,piano,80,67,24.8,24.988333333333333
False,piano,80,55,24.8,24.988333333333333
True,piano,80,70,25.0,25.188333333333333
False,piano,80,58,25.0,25.188333333333333
True,piano,80,65,25.2,25.578333333333333
False,piano,80,53,25.2,25.578333333333333
False,piano,80,39,25.6,25.97833333333333
True,piano,80,67,26.0,26.378333333333334
False,piano,80,46,26.0,26.378333333333334
True,piano,80,65,26.4,26.525
False,piano,80,51,26.4,26.778333333333332
True,piano,80,67,26.533333333333335,26.658333333333335
True,piano,80,65,26.666666666666668,26.791666666666668
True,piano,80,67,26.8,26.988333333333333
False,piano,80,46,26.8,27.178333333333335
True,piano,80,65,27.0,27.188333333333333
True,piano,80,63,27.2,27.388333333333332
False,piano,80,38,27.2,27.578333333333333
True,piano,80,65,27.4,27.588333333333335
True,piano,80,65,27.6,27.788333333333334
False,piano,80,46,27.6,27.97833333333333
True,piano,80,65,27.8,27.988333333333333
True,piano,80,65,28.0,28.188333333333333
False,piano,80,50,28.0,28.378333333333334
True,piano,80,65,28.2,28.768333333333334
False,piano,80,46,28.4,28.778333333333332
False,piano,80,39,28.8,29.178333333333335
True,piano,80,67,29.2,29.578333333333333
False,piano,80,46,29.2,29.578333333333333
True,piano,80,65,29.6,29.725
False,piano,80,51,29.6,29.97833333333333
True,piano,80,67,29.733333333333334,29.858333333333334
True,piano,80,65,29.866666666666667,29.991666666666667
True,piano,80,67,30.0,30.188333333333333
False,piano,80,46,30.0,30.378333333333334
True,piano,80,65,30.2,30.388333333333332
True,piano,80,63,30.4,30.588333333333335
False,piano,80,44,30.4,30.778333333333332
True,piano,80,65,30.6,30.788333333333334
True,piano,80,65,30.8,30.988333333333333
False,piano,80,48,30.8,31.178333333333335
True,piano,80,65,31.0,31.188333333333333
True,piano,80,65,31.2,31.388333333333332
False,piano,80,51,31.2,31.578333333333333
True,piano,80,65,31.4,31.778333333333332
False,piano,80,48,31.6,31.97833333333333
True,piano,80,58,31.8,31.988333333333333
True,piano,80,60,32.0,32.18833333333333
False,piano,80,39,32.0,32.37833333333333
True,piano,80,60,32.2,32.388333333333335
True,piano,80,72,32.4,32.58833333333333
False,piano,80,46,32.4,32.778333333333336
True,piano,80,70,32.6,32.97833333333333
False,piano,80,51,32.8,33.178333333333335
True,piano,80,67,33.0,33.18833333333333
True,piano,80,67,33.2,33.388333333333335
False,piano,80,46,33.2,33.57833333333333
True,piano,80,65,33.4,33.58833333333333
True,piano,80,67,33.6,33.788333333333334
False,piano,80,38,33.6,33.97833333333333
True,piano,80,67,33.8,33.98833333333334
True,piano,80,70,34.0,34.18833333333333
False,piano,80,46,34.0,34.37833333333333
True,piano,80,67,34.2,34.388333333333335
False,piano,80,50,34.4,34.778333333333336
False,piano,80,46,34.8,35.178333333333335
True,piano,80,58,35.0,35.18833333333333
True,piano,80,60,35.2,35.388333333333335
False,piano,80,39,35.2,35.57833333333333
True,piano,80,60,35.4,35.58833333333333
True,piano,80,72,35.6,35.788333333333334
False,piano,80,46,35.6,35.97833333333333
True,piano,80,70,35.8,36.178333333333335
False,piano,80,51,36.0,36.37833333333333
True,piano,80,67,36.2,36.388333333333335
True,piano,80,67,36.4,36.58833333333333
False,piano,80,46,36.4,36.778333333333336
True,piano,80,65,36.6,36.788333333333334
True,piano,80,67,36.8,36.98833333333334
